,title,totalpage,nickname,comment
0,提问,1,朱你可爱我,兄弟们还有以前打LOL的热情吗？楼主刚打了一把，菜死了，几年没玩了，当初初中班上的同学现在还是30级，看着好友列表一个都不在线，以前去上黑网吧打LOL的冲动也一去不复返了，真想回到初中啊，时间啊，停止吧
1,msi宝典20级这些什么水平,1,夕露沾我衣,woc，你是不是基础皮肤多一点，***沙漠卡特琳娜，特工赵信。。
2,msi宝典20级这些什么水平,1,NOTFOUNDAREA,🐶托去s！
3,msi宝典20级这些什么水平,1,音乐大虾活宝,我10级的那个是西部魔影卢仙
4,收全区淘宝三无号 无视胜率皮肤英雄 可以中介交易 出的Dd,1,整挺好,收全区淘宝三无号 无视胜率皮肤英雄 可以中介交易 出的Dd
5,收全区淘宝三无号 无视胜率皮肤英雄 可以中介交易 出的Dd,1,整挺好,一
6,收全区淘宝三无号 无视胜率皮肤英雄 可以中介交易 出的Dd,1,整挺好,一
7,收全区淘宝三无号 无视胜率皮肤英雄 可以中介交易 出的Dd,1,整挺好,一
8,收全区淘宝三无号 无视胜率皮肤英雄 可以中介交易 出的Dd,1,整挺好,一
9,收全区淘宝三无号 无视胜率皮肤英雄 可以中介交易 出的Dd,1,整挺好,一
10,这玩意的血条不能相信,1,贴吧用户_7Xa9A5a,什么塑料局？
11,谁带我打游戏,4,上官诺儿,谁带我打游戏
12,谁带我打游戏,4,上官诺儿,……
13,谁带我打游戏,4,上官诺儿,……
14,谁带我打游戏,4,cszzzgod,纯纯的烧鸡
15,谁带我打游戏,4,整活运动大神,好腿
16,谁带我打游戏,4,你笑着面对我,😋
17,谁带我打游戏,4,Zale,喜欢
18,谁带我打游戏,4,上官诺儿,玩游戏都没带
19,谁带我打游戏,4,上官诺儿,？
20,谁带我打游戏,4,正直人,哪个区的
21,谁带我打游戏,4,机智的萧何,这腿，必须玩
22,谁带我打游戏,4,机智的萧何,这腿，哪个区都得打
23,谁带我打游戏,4,刺溜一口,"何为梦泪?”
“少年，露娜，风名成。”
“能否详细?”
“韩信，偷塔，万人颂。”
“可否再具体?”
“李白，丝血，亦能秀。”
“仍是不解?”
“曾不可一世，现不可一时”
--致我挚爱的Ag超玩会，梦泪"
24,谁带我打游戏,4,彪彪彪彪,阿这，这是打游戏还是抓鸭子啊
25,谁带我打游戏,4,各种逆天呀-,打游戏的时候能穿上这身装备打吗
26,谁带我打游戏,4,蒹霞苍苍,+3
27,谁带我打游戏,4,月亮失约,好腿
28,谁带我打游戏,4,我鹅三杀王峰,小姐姐，看私信
29,谁带我打游戏,4,贴吧用户_5CVa8t9,需要买鞋子加我微xxm01011548
30,谁带我打游戏,4,家里蹲吧吧草,我
31,谁带我打游戏,4,贴吧用户_aDeVRt3,好美
32,谁带我打游戏,4,茶茶婉,现在流行打游戏发照片了么。学到了
33,谁带我打游戏,4,积极叫77,我呀
34,谁带我打游戏,4,,不给🌿不玩。
35,谁带我打游戏,4,醉卧小船听风雨,联通流量卡29圆60G，39元圆100G，全国可用，免费邮寄到家 需要私聊
36,谁带我打游戏,4,宋子成55,上号
37,谁带我打游戏,4,爱不过你nice,烧鸡，浅草
38,谁带我打游戏,4,华北wyz,哪个区这是
39,谁带我打游戏,4,狗罢了,请明码标价，别搁这🎣
40,谁带我打游戏,4,网友透先生,床上打lol是吧
41,谁带我打游戏,4,如梦如幻n,丝袜是穿手上的吗
42,谁带我打游戏,4,,这光辉真精致 哦 不 是这娘们真好玩
43,谁带我打游戏,4,贴吧用户_aPP64M6,你是来麦批的吧？说个价格。
44,谁带我打游戏,4,shine呵呵hh,来一起玩啊，一区十区都有号
45,谁带我打游戏,4,,你搁这钓宁🐴的🐟呢 还一群上钩的 老子都佛了都不看看发帖历史的吗这些不带脑子的
46,谁带我打游戏,4,希然女王S,给个qq
47,谁带我打游戏,4,花开半月1,多少mangni
48,谁带我打游戏,4,浣庤皟鈩,好烧，你璐璐我劫吧，还是你艾希我纳尔？
49,谁带我打游戏,4,董嗷嗷,你这个图片一出就不是打游戏那么简单了
50,谁带我打游戏,4,漫游漫游漫游,在？看看b?
51,谁带我打游戏,4,神秘,6
52,谁带我打游戏,4,freemanyear,你不适合打游戏
53,谁带我打游戏,4,小小小小胖丁,别人是发余额让人带打游戏，发钱，你发腿照让人带你打游戏，有什么好处呢
54,谁带我打游戏,4,贴吧用户_58N4R5Q,爱了爱了
55,谁带我打游戏,4,zzz,招陪玩小姐姐
56,谁带我打游戏,4,小小瘦00,我来了
57,谁带我打游戏,4,浮华落尽心竭力,要资源加v呺lxf23570
58,谁带我打游戏,4,,买鞋子+v ZCJK66666
59,谁带我打游戏,4,kimtaian9311,电竞交流Q群462387219
60,谁带我打游戏,4,你在想屁吃呢,加v？
