,0,1
0,,javascript:;
1,,javascript:;
2,,javascript:;
3,卡尔：新版龙龟出AP有多强？石头R在它面前就是个弟弟.....,https://tieba.baidu.com/p/7346453652
4,谁带我打游戏,https://tieba.baidu.com/p/7327289812
5,我想不通我一个AD去凑啥热闹？,https://tieba.baidu.com/p/7338418453
6,还是挺深藏不露的,https://tieba.baidu.com/p/7346502491
7,"跑,你跑 你越跑我越兴奋~",https://tieba.baidu.com/p/7340243846
8,不会吧！不会真有人不会兰博一级红温吧？,https://tieba.baidu.com/p/7340117710
9,神仙心态 这要是我早就弹钢琴了,https://tieba.baidu.com/p/7285739457
10,交织的城市，陌生的你,https://tieba.baidu.com/p/7346501186
11,解锁了新英雄的霸哥得到了队友一致的肯定！,https://tieba.baidu.com/p/7345355644
12,倚,https://tieba.baidu.com/p/7346500266
13,有人和我一样莫名其妙被封号了吗？,https://tieba.baidu.com/p/7327808313
14,在家也可以安装网吧特权,https://tieba.baidu.com/p/7346500004
15,在线接单 dl pw,https://tieba.baidu.com/p/7318452496
16,纯新人，有几个非常基础的问题,https://tieba.baidu.com/p/7341601637
17,请问LOL被无故封号怎么找到人工客服？,https://tieba.baidu.com/p/7315931396
18,我五年的号没上过 打了几局 给我封了？,https://tieba.baidu.com/p/7346496583
19,挝,https://tieba.baidu.com/p/7346494103
20,共个号,https://tieba.baidu.com/p/7342946854
21,此时上帝的心态发生了一点变化,https://tieba.baidu.com/p/7339077102
22,我觉得上单ad就适合这样子整他，打野隔三差五的来,https://tieba.baidu.com/p/7340252908
23,请问wegame登录有风险吗？wegame是第三方软件吧,https://tieba.baidu.com/p/7346463518
24,妹子群欢迎你的加入,https://tieba.baidu.com/p/7344134231
25,静,https://tieba.baidu.com/p/7346488054
26,这些远古皮肤现在值钱吗？脱坑好久了,https://tieba.baidu.com/p/7346487668
27,不得不说玩这么久的诺手。熟练度有了,https://tieba.baidu.com/p/7337152071
28,挂个网二的神 求吧主别删 谢谢,https://tieba.baidu.com/p/7346439237
29,收全区淘宝三无号 无视胜率皮肤英雄 可以中介交易 出的Dd,https://tieba.baidu.com/p/7346483359
30,没有无限火力了吗？,https://tieba.baidu.com/p/7346483033
31,我不敢太勇敢太执着太骄傲 我怕失去,https://tieba.baidu.com/p/7346482638
32,这个啥问题,https://tieba.baidu.com/p/7346309095
33,最强百分比坦克杀手，还有比他更顶的吗？,https://tieba.baidu.com/p/7225594671
34,我1区大师 不打排位为什么胜点不衰减,https://tieba.baidu.com/p/7339888571
35,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,https://tieba.baidu.com/p/7345892233
36,魔剑染血已难褪,https://tieba.baidu.com/p/7283023061
37,活捉一个地域狗,https://tieba.baidu.com/p/7346230314
38,劳资t m本本分分打游戏，一个字都没打，这t m是几个意思？,https://tieba.baidu.com/p/7346378443
39,q0级资格号,https://tieba.baidu.com/p/7346366444
40,关于叮号,https://tieba.baidu.com/p/7346366154
41,全球总决赛门票多少钱？好买吗？,https://tieba.baidu.com/p/7340695273
42,今天状态好，运气也好，稳住心态就能赢,https://tieba.baidu.com/p/7346333495
43,英雄联盟细节的博弈令我着迷,https://tieba.baidu.com/p/7262561535
44,女警,https://tieba.baidu.com/p/7346446880
45,狗熊这玩意可太难打了！什么英雄可以压着他打,https://tieba.baidu.com/p/7342131400
46,这种盲僧最多让他欺负我十五分钟,https://tieba.baidu.com/p/7237962864
47,现在官方都不安排A弟C了吗,https://tieba.baidu.com/p/7346357049
48,黑色玫瑰电信十区开黑群+56228262没事一起玩玩吹吹水兄弟们赶紧,https://tieba.baidu.com/p/7346355512
49,uzi也是个直男，吵完架就睡觉？,https://tieba.baidu.com/p/7247299910
